Period,Reference of electric meter,Consumption (kWh)
03-12-2024 to 03-01-2025,A2-1 (672),2244
03-12-2024 to 03-01-2025,A0-3 (666),4229
03-12-2024 to 03-01-2025,A1-2 (670),7486
04-02-2025 to 04-03-2025,A1-2 (670),8781
04-02-2025 to 04-03-2025,A2-1 (672),2463
04-02-2025 to 04-03-2025,A0-3 (666),4351
04-03-2025 to 05-05-2025,A2-1 (672),2265
04-03-2025 to 05-05-2025,A1-2 (670),11812
04-03-2025 to 05-05-2025,A0-3 (666),5620
18-03-2025 to 20-05-2025,A0-2 (668),0
18-03-2025 to 20-05-2025,A1-1 (669),0
18-03-2025 to 20-05-2025,A3-1 (674),0
18-03-2025 to 20-05-2025,A3-2 (673),0
18-03-2025 to 20-05-2025,A4-1 (676),0
18-03-2025 to 20-05-2025,A4-2 (675),0
03-06-2025 to 03-07-2025,A2-1 (672),2737
03-06-2025 to 03-07-2025,A1-2 (670),6955
03-06-2025 to 03-07-2025,A0-3 (666),3781
04-08-2025 to 09-09-2025,A1-2 (670),0
04-08-2025 to 09-09-2025,A2-1 (672),0
